YEAR	WINNER	RUNNER-UP	SCORE
1978	Chris O'Neil (AUS)	Betsy Nagelsen (USA)	6-3, 7-6(3)
1977	Kerry Melville Reid (AUS)	Dianne Fromholtz Balestrat (AUS)	7-5, 6-2
1977	Evonne Goolagong Cawley (AUS)	Helen Gourlay Cawley (AUS)	6-3, 6-0
1976	Evonne Goolagong Cawley (AUS)	Renata Tomanova (TCH)	6-2, 6-2
1975	Evonne Goolagong Cawley (AUS)	Martina Navratilova (TCH)	6-3, 6-2
1974	Evonne Goolagong Cawley (AUS)	Chris Evert (USA)	7-6(5), 4-6, 6-0
1973	Margaret Court (AUS)	Evonne Goolagong Cawley (AUS)	6-4, 7-5
1972	Virginia Wade (GBR)	Evonne Goolagong Cawley (AUS)	6-4, 6-4
1971	Margaret Court (AUS)	Evonne Goolagong Cawley (AUS)	2-6, 7-6(0), 7-5
1970	Margaret Court (AUS)	Kerry Melville Reid (AUS)	6-1, 6-3
1969	Margaret Court (AUS)	Billie Jean King (USA)	6-4, 6-1
1968	Billie Jean King (USA)	Margaret Court (AUS)	6-1, 6-2
1967	Nancy Richey (USA)	Lesley Turner Bowrey (AUS)	6-1, 6-4
1966	Margaret Court (AUS)	Nancy Richey (USA)	walkover
1965	Margaret Court (AUS)	Maria Bueno (BRA)	5-7, 6-4, 5-2, retired
1964	Margaret Court (AUS)	Lesley Turner Bowrey (AUS)	6-3, 6-2
1963	Margaret Court (AUS)	Jan Lehane O'Neill (AUS)	6-2, 6-2
1962	Margaret Court (AUS)	Jan Lehane O'Neill (AUS)	6-0, 6-2
1961	Margaret Court (AUS)	Jan Lehane O'Neill (AUS)	6-1, 6-4
1960	Margaret Court (AUS)	Jan Lehane O'Neill (AUS)	7-5, 6-2
1959	Mary Carter Reitano (AUS)	Renee Schuurman Haygarth (ZAF)	6-2, 6-3
1958	Angela Mortimer Barrett (GBR)	Lorraine Coghlan Robinson (AUS)	6-3, 6-4
1957	Shirley Fry Irvin (USA)	Althea Gibson (USA)	6-3, 6-4
1956	Mary Carter Reitano (AUS)	Thelma Coyne Long (AUS)	3-6, 6-2, 9-7
1955	Beryl Penrose Collier (AUS)	Thelma Coyne Long (AUS)	6-4, 6-3
1954	Thelma Coyne Long (AUS)	Jenny Staley Hoad (AUS)	6-3, 6-4
1953	Maureen Connolly Brinker (USA)	Julie Sampson Haywood (USA)	6-3, 6-2
1952	Thelma Coyne Long (AUS)	Helen Angwin (AUS)	6-2, 6-3
1951	Nancye Wynne Bolton (AUS)	Thelma Coyne Long (AUS)	6-1, 7-5
1950	Louise Brough (USA)	Doris Hart (USA)	6-4, 3-6, 6-4
1949	Doris Hart (USA)	Nancye Wynne Bolton (AUS)	6-3, 6-4
1948	Nancye Wynne Bolton (AUS)	Marie Toomey (AUS)	6-3, 6-1
1947	Nancye Wynne Bolton (AUS)	Nell Hall Hopman (AUS)	6-3, 6-2
1946	Nancye Wynne Bolton (AUS)	Joyce Fitch (AUS)	6-4, 6-4
1940	Nancye Wynne Bolton (AUS)	Thelma Coyne Long (AUS)	5-7, 6-4, 6-0
1939	Emily Hood Westacott (AUS)	Nell Hall Hopman (AUS)	6-1, 6-2
1938	Dorothy Cheney (USA)	Dorothy Stevenson (AUS)	6-3, 6-2
1937	Nancye Wynne Bolton (AUS)	Emily Hood Westacott (AUS)	6-3, 5-7, 6-4
1936	Joan Hartigan Bathurst (AUS)	Nancye Wynne Bolton (AUS)	6-4, 6-4
1935	Dorothy Round Little (GBR)	Nancy Lyle Glover (AUS)	1-6, 6-1, 6-3
1934	Joan Hartigan Bathurst (AUS)	Margaret Molesworth (AUS)	6-1, 6-4
1933	Joan Hartigan Bathurst (AUS)	Coral Buttsworth (AUS)	6-4, 6-3
1932	Coral Buttsworth (AUS)	Kathrine Le Mesurier (AUS)	9-7, 6-4
1931	Coral Buttsworth (AUS)	Marjorie Cox Crawford (AUS)	1-6, 6-3, 6-4
1930	Daphne Akhurst Cozens (AUS)	Sylvia Lance Harper (AUS)	10-8, 2-6, 7-5
1929	Daphne Akhurst Cozens (AUS)	Louise Bickerton (AUS)	6-1, 5-7, 6-2
1928	Daphne Akhurst Cozens (AUS)	Esna Boyd Robertson (AUS)	7-5, 6-2
1927	Esna Boyd Robertson (AUS)	Sylvia Lance Harper (AUS)	5-7, 6-1, 6-2
1926	Daphne Akhurst Cozens (AUS)	Esna Boyd Robertson (AUS)	6-1, 6-3
1925	Daphne Akhurst Cozens (AUS)	Esna Boyd Robertson (AUS)	1-6, 8-6, 6-4
1924	Sylvia Lance Harper (AUS)	Esna Boyd Robertson (AUS)	6-3, 3-6, 8-6
1923	Margaret Molesworth (AUS)	Esna Boyd Robertson (AUS)	6-1, 7-5
1922	Margaret Molesworth (AUS)	Esna Boyd Robertson (AUS)	6-3, 10-8
