YEAR	WINNER	RUNNER-UP	SCORE
1946	Pauline Betz Addie (USA)	Louise Brough Clapp (USA)	6-2, 6-4
1939	Alice Marble (USA)	Kay Stammers Bullitt (GBR)	6-2, 6-0
1938	Helen Wills Moody (USA)	Helen Jacobs (USA)	6-4, 6-0
1937	Dorothy Round Little (GBR)	Jadwiga Jedrzejowska (POL)	6-2, 2-6, 7-5
1936	Helen Jacobs (USA)	Hilde Krahwinkel Sperling (DEN)	6-2, 4-6, 7-5
1935	Helen Wills Moody (USA)	Helen Jacobs (USA)	6-3, 3-6, 7-5
1934	Dorothy Round Little (GBR)	Helen Jacobs (USA)	6-2, 5-7, 6-3
1933	Helen Wills Moody (USA)	Dorothy Round Little (GBR)	6-4, 6-8, 6-3
1932	Helen Wills Moody (USA)	Helen Jacobs (USA)	6-3, 6-1
1931	Cilly Aussem (GER)	Hilde Krahwinkel Sperling (GER)	6-2, 7-5
1930	Helen Wills Moody (USA)	Elizabeth Ryan (USA)	6-2, 6-2
1929	Helen Wills Moody (USA)	Helen Jacobs (USA)	6-1, 6-2
1928	Helen Wills Moody (USA)	Lili de Alvarez (ESP)	6-2, 6-3
1927	Helen Wills Moody (USA)	Lili de Alvarez (ESP)	6-2, 6-4
1926	Kitty McKane Godfree (GBR)	Lili de Alvarez (ESP)	6-2, 4-6, 6-3
1925	Suzanne Lenglen (FRA)	Joan Fry (GBR)	6-2, 6-0
1924	Kitty McKane Godfree (GBR)	Helen Wills Moody (USA)	4-6, 6-4, 6-4
1923	Suzanne Lenglen (FRA)	Kitty McKane Godfree (GBR)	6-2, 6-2
1922	Suzanne Lenglen (FRA)	Molla Bjurstedt Mallory (USA)	6-2, 6-0
1921	Suzanne Lenglen (FRA)	Elizabeth Ryan (USA)	6-2, 6-0
1920	Suzanne Lenglen (FRA)	Dorothea Lambert Chambers (BRI)	6-3, 6-0
1919	Suzanne Lenglen (FRA)	Dorothea Lambert Chambers (BRI)	10-8, 4-6, 9-7
1914	Dorothea Lambert Chambers (BRI)	Ethel Thomson Larcombe (BRI)	7-5, 6-4
1913	Dorothea Lambert Chambers (BRI)	Winifred McNair (BRI)	6-0, 6-4
1912	Ethel Thomson Larcombe (BRI)	Charlotte Cooper Sterry (BRI)	6-3, 6-1
1911	Dorothea Lambert Chambers (BRI)	Dora Boothby (BRI)	6-0, 6-0
1910	Dorothea Lambert Chambers (BRI)	Dora Boothby (BRI)	6-2, 6-2
1909	Dora Boothby (BRI)	Agnes Morton (BRI)	6-4, 4-6, 8-6
1908	Charlotte Cooper Sterry (BRI)	Agnes Morton (BRI)	6-4, 6-4
1907	May Sutton (USA)	Dorothea Lambert Chambers (BRI)	6-1, 6-4
1906	Dorothea Douglass (BRI)	May Sutton (USA)	6-3, 9-7
1905	May Sutton (USA)	Dorothea Douglass (BRI)	6-3, 6-4
1904	Dorothea Douglass (BRI)	Charlotte Cooper Sterry (BRI)	6-0, 6-3
1903	Dorothea Douglass (BRI)	Ethel Thomson Larcombe (BRI)	4-6, 6-4, 6-2
1902	Muriel Robb (BRI)	Charlotte Cooper Sterry (BRI)	7-5, 6-1
1901	Charlotte Cooper Sterry (BRI)	Blanche Bingley Hillyard (BRI)	6-2, 6-2
1900	Blanche Bingley Hillyard (BRI)	Charlotte Cooper (BRI)	4-6, 6-4, 6-4
1899	Blanche Bingley Hillyard (BRI)	Charlotte Cooper (BRI)	6-2, 6-3
1898	Charlotte Cooper (BRI)	Louisa Martin (BRI)	6-4, 6-4
1897	Blanche Bingley Hillyard (BRI)	Charlotte Cooper (BRI)	5-7, 7-5, 6-2
1896	Charlotte Cooper (BRI)	Alice Simpson Pickering (BRI)	6-2, 6-3
1895	Charlotte Cooper (BRI)	Helen Jackson (BRI)	7-5, 8-6
1894	Blanche Bingley Hillyard (BRI)	Edith Austin (BRI)	6-1, 6-1
1893	Lottie Dod (BRI)	Blanche Bingley Hillyard (BRI)	6-8, 6-1, 6-4
1892	Lottie Dod (BRI)	Blanche Bingley Hillyard (BRI)	6-1, 6-1
1891	Lottie Dod (BRI)	Blanche Bingley Hillyard (BRI)	6-2, 6-1
1890	Lena Rice (BRI)	May Jacks (BRI)	6-4, 6-1
1889	Blanche Bingley Hillyard (BRI)	Lena Rice (BRI)	4-6, 8-6, 6-4
1888	Lottie Dod (BRI)	Blanche Bingley Hillyard (BRI)	6-3, 6-3
1887	Lottie Dod (BRI)	Blanche Bingley (BRI)	6-2, 6-0
1886	Blanche Bingley (BRI)	Maud Watson (BRI)	6-3, 6-3
1885	Maud Watson (BRI)	Blanche Bingley (BRI)	6-1, 7-5
1884	Maud Watson (BRI)	Lillian Watson (BRI)	6-8, 6-3, 6-3
