YEAR	WINNER	RUNNER-UP	SCORE
1971	Ken Rosewall (AUS)	Arthur Ashe (USA)	6-1, 7-5, 6-3
1970	Arthur Ashe (USA)	Dick Crealy (AUS)	6-4, 9-7, 6-2
1969	Rod Laver (AUS)	Andres Gimeno (ESP)	6-3, 6-4, 7-5
1968	William Bowrey (AUS)	Juan Gisbert (ESP)	7-5, 2-6, 9-7, 6-4
1967	Roy Emerson (AUS)	Arthur Ashe (USA)	6-4, 6-1, 6-4
1966	Roy Emerson (AUS)	Arthur Ashe (USA)	6-4, 6-8, 6-2, 6-3
1965	Roy Emerson (AUS)	Fred Stolle (AUS)	7-9, 2-6, 6-4, 7-5, 6-1
1964	Roy Emerson (AUS)	Fred Stolle (AUS)	6-3, 6-4, 6-2
1963	Roy Emerson (AUS)	Ken Fletcher (AUS)	6-3, 6-3, 6-1
1962	Rod Laver (AUS)	Roy Emerson (AUS)	8-6, 0-6, 6-4, 6-4
1961	Roy Emerson (AUS)	Rod Laver (AUS)	1-6, 6-3, 7-5, 6-4
1960	Rod Laver (AUS)	Neale Fraser (AUS)	5-7, 3-6, 6-3, 8-6, 8-6
1959	Alex Olmedo (USA)	Neale Fraser (AUS)	6-1, 6-2, 3-6, 6-3
1958	Ashley Cooper (AUS)	Malcolm Anderson (AUS)	7-5, 6-3, 6-4
1957	Ashley Cooper (AUS)	Neale Fraser (AUS)	6-3, 9-11, 6-4, 6-2
1956	Lew Hoad (AUS)	Ken Rosewall (AUS)	6-4, 3-6, 6-4, 7-5
1955	Ken Rosewall (AUS)	Lew Hoad (AUS)	9-7, 6-4, 6-4
1954	Mervyn Rose (AUS)	Rex Hartwig (AUS)	6-2, 0-6, 6-4, 6-2
1953	Ken Rosewall (AUS)	Mervyn Rose (AUS)	6-0, 6-3, 6-4
1952	Ken McGregor (AUS)	Frank Sedgman (AUS)	7-5, 12-10, 2-6, 6-2
1951	Dick Savitt (USA)	Ken McGregor (AUS)	6-3, 2-6, 6-3, 6-1
1950	Frank Sedgman (AUS)	Ken McGregor (AUS)	6-3, 6-4, 4-6, 6-1
1949	Frank Sedgman (AUS)	John Bromwich (AUS)	6-3, 6-2, 6-2
1948	Adrian Quist (AUS)	John Bromwich (AUS)	6-4, 3-6, 6-3, 2-6, 6-3
1947	Dinny Pails (AUS)	John Bromwich (AUS)	4-6, 6-4, 3-6, 7-5, 8-6
1946	John Bromwich (AUS)	Dinny Pails (AUS)	5-7, 6-3, 7-5, 3-6, 6-2
1940	Adrian Quist (AUS)	Jack Crawford (AUS)	6-3, 6-1, 6-2
1939	John Bromwich (AUS)	Adrian Quist (AUS)	6-4, 6-1, 6-3
1938	Don Budge (USA)	John Bromwich (AUS)	6-4, 6-2, 6-1
1937	Vivian McGrath (AUS)	John Bromwich (AUS)	6-3, 1-6, 6-0, 2-6, 6-1
1936	Adrian Quist (AUS)	Jack Crawford (AUS)	6-2, 6-3, 4-6, 3-6, 9-7
1935	Jack Crawford (AUS)	Fred Perry (GBR)	2-6, 6-4, 6-4, 6-4
1934	Fred Perry (GBR)	Jack Crawford (AUS)	6-3, 7-5, 6-1
1933	Jack Crawford (AUS)	Keith Gledhill (USA)	2-6, 7-5, 6-3, 6-2
1932	Jack Crawford (AUS)	Harry Hopman (AUS)	4-6, 6-3, 3-6, 6-3, 6-1
1931	Jack Crawford (AUS)	Harry Hopman (AUS)	6-4, 6-2, 2-6, 6-1
1930	Edgar Moon (AUS)	Harry Hopman (AUS)	6-3, 6-1, 6-3
1929	John Colin Gregory (GBR)	Richard Schlesinger (AUS)	6-2, 6-2, 5-7, 7-5
1928	Jean Borotra (FRA)	Jack Cummings (AUS)	6-4, 6-1, 4-6, 5-7, 6-3
1927	Gerald Patterson (AUS)	John Hawkes (AUS)	3-6, 6-4, 3-6, 18-16, 6-3
1926	John Hawkes (AUS)	James Willard (AUS)	6-1, 6-3, 6-1
1925	James Anderson (AUS)	Gerald Patterson (AUS)	11-9, 2-6, 6-2, 6-3
1924	James Anderson (AUS)	Richard Schlesinger (AUS)	6-3, 6-4, 3-6, 5-7, 6-3
1923	Pat O'Hara Wood (AUS)	Bert St. John (AUS)	6-1, 6-1, 6-3
1922	James Anderson (AUS)	Gerald Patterson (AUS)	6-0, 3-6, 3-6, 6-3, 6-2
1921	Rhys Gemmell (AUS)	Alf Hedeman (AUS)	7-5, 6-1, 6-4
1920	Pat O'Hara Wood (AUS)	Ronald Thomas (AUS)	6-3, 4-6, 6-8, 6-1, 6-3
1919	Algernon Kingscote (BRI)	Eric Pockley (AUS)	6-4, 6-0, 6-3
1915	Gordon Lowe (BRI)	Horace Rice (AUS)	4-6, 6-1, 6-1, 6-4
1914	Arthur O'Hara Wood (AUS)	Gerald Patterson (AUS)	6-4, 6-3, 5-7, 6-1
1913	Ernie Parker (AUS)	Harry Parker (NZL)	2-6, 6-1, 6-3, 6-2
1912	James Cecil Parke (BRI)	Alfred Beamish (BRI)	3-6, 6-3, 1-6, 6-1, 7-5
1911	Norman Brookes (AUS)	Horace Rice (AUS)	6-1, 6-2, 6-3
1910	Rodney Heath (AUS)	Horace Rice (AUS)	6-4, 6-3, 6-2
1909	Anthony Wilding (NZL)	Ernie Parker (AUS)	6-1, 7-5, 6-2
1908	Fred Alexander (USA)	Alfred Dunlop (AUS)	3-6, 3-6, 6-0, 6-2, 6-3
1907	Horace Rice (AUS)	Harry Parker (NZL)	6-3, 6-4, 6-4
1906	Anthony Wilding (NZL)	Francis Fisher (NZL)	6-0, 6-4, 6-4
1905	Rodney Heath (AUS)	Arthur Curtis (AUS)	4-6, 6-3, 6-4, 6-4
